lga_id,LGA,Dwellings Count
LGA506,Central Coast (Tas.),10434
LGA507,Central Highlands (Tas.),2752
LGA508,Circular Head,4064
LGA509,Clarence,25894
LGA510,Derwent Valley,4749
LGA511,Devonport,12071
LGA512,Dorset,3948
LGA513,Flinders (Tas.),689
LGA514,George Town,3685
LGA515,Glamorgan-Spring Bay,4752
LGA516,Glenorchy,21879
LGA517,Hobart,24864
LGA518,Huon Valley,8767
LGA519,Kentish,2915
LGA520,King Island,897
LGA521,Kingborough,17301
LGA522,Latrobe (Tas.),5816
LGA523,Launceston,31369
LGA524,Meander Valley,9276
LGA525,Northern Midlands,6444
LGA526,Sorell,8134
LGA527,Southern Midlands,2978
LGA528,Tasman,2644
LGA529,Waratah-Wynyard,6909
LGA530,West Coast,3123
LGA531,West Tamar,11308
LGA532,Migratory - Offshore - Shipping (Tas.),16
LGA533,Alice Springs,11681
LGA534,Barkly,2932
LGA535,Belyuen,42
LGA536,Central Desert,1272
LGA537,Coomalie,1065
LGA538,Darwin,34806
LGA539,Darwin Waterfront Precinct,258
LGA540,East Arnhem,1968
LGA541,Katherine,4436
LGA542,Litchfield,8883
LGA543,MacDonnell,2243
LGA544,Palmerston,14542
LGA545,Roper Gulf,2923
LGA546,Tiwi Islands,798
LGA547,Victoria Daly,1232
LGA548,Wagait,293
LGA549,West Arnhem,2225
LGA550,West Daly,709
LGA551,Unincorporated NT,4175
LGA552,Migratory - Offshore - Shipping (NT),74
LGA553,Unincorporated ACT,187156
LGA554,Migratory - Offshore - Shipping (ACT),0
LGA555,Unincorp. Other Territories,1376
LGA556,Migratory - Offshore - Shipping (OT),0
