location_id,lga_id,State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021
L428,LGA248,QLD,Inner Regional Australia,Central Queensland,Livingstone
L429,LGA210,VIC,Outer Regional Australia,Latrobe - Gippsland,Unincorporated Vic
L430,LGA151,VIC,Outer Regional Australia,North West,Gannawarra
L431,LGA13,NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Blue Mountains
L432,LGA301,SA,Very Remote Australia,South Australia - Outback,Ceduna
L433,LGA91,NSW,Major Cities of Australia,Sydney - Ryde,Parramatta
L434,LGA285,QLD,Remote Australia,Mackay - Isaac - Whitsunday,Whitsunday
L435,LGA99,NSW,Inner Regional Australia,Illawarra,Shellharbour
L436,LGA538,NT,Outer Regional Australia,Darwin,Darwin
L437,LGA136,VIC,Outer Regional Australia,Latrobe - Gippsland,Baw Baw
L438,LGA536,NT,Very Remote Australia,Northern Territory - Outback,Central Desert
L439,LGA105,NSW,Inner Regional Australia,Sydney - Outer South West,Sutherland
L440,LGA60,NSW,Outer Regional Australia,Mid North Coast,Kempsey
L441,LGA225,QLD,Very Remote Australia,Queensland - Outback,Carpentaria
L442,LGA358,SA,Very Remote Australia,South Australia - Outback,Wudinna
L443,LGA261,QLD,Very Remote Australia,Queensland - Outback,Murweh
L444,LGA40,NSW,Outer Regional Australia,Capital Region,Eurobodalla
L445,LGA341,SA,Outer Regional Australia,South Australia - South East,Renmark Paringa
L446,LGA320,SA,Outer Regional Australia,South Australia - South East,Loxton Waikerie
L447,LGA506,TAS,Outer Regional Australia,West and North West,Central Coast (Tas.)
L448,LGA9,NSW,Outer Regional Australia,Murray,Berrigan
L449,LGA331,SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters
L450,LGA526,TAS,Outer Regional Australia,Hobart,Sorell
L451,LGA29,NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley
L452,LGA128,NSW,Major Cities of Australia,Capital Region,Yass Valley
L453,LGA543,NT,Very Remote Australia,Northern Territory - Outback,MacDonnell
L454,LGA67,NSW,Outer Regional Australia,Riverina,Leeton
L455,LGA4,NSW,Remote Australia,Murray,Balranald
L456,LGA273,QLD,Inner Regional Australia,Gold Coast,Scenic Rim
L457,LGA93,NSW,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings
L458,LGA521,TAS,Outer Regional Australia,South East,Kingborough
L459,LGA182,VIC,Major Cities of Australia,Melbourne - Inner,Moreland
L460,LGA306,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast
L461,LGA72,NSW,Inner Regional Australia,Riverina,Lockhart
L462,LGA329,SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale
L463,LGA345,SA,Remote Australia,South Australia - South East,Southern Mallee
L464,LGA46,NSW,Inner Regional Australia,New England and North West,Glen Innes Severn
L465,LGA55,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby
L466,LGA519,TAS,Outer Regional Australia,West and North West,Kentish
L467,LGA311,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Goyder
L468,LGA140,VIC,Major Cities of Australia,Melbourne - North West,Brimbank
L469,LGA308,SA,Outer Regional Australia,South Australia - Outback,Flinders Ranges
L470,LGA0,ACT,Unknown,Unknown,Unknown
L471,LGA157,VIC,Inner Regional Australia,Geelong,Greater Geelong
L472,LGA168,VIC,Inner Regional Australia,Bendigo,Loddon
L473,LGA201,VIC,Outer Regional Australia,Latrobe - Gippsland,Wellington
L474,LGA59,NSW,Inner Regional Australia,Riverina,Junee
L475,LGA352,SA,Inner Regional Australia,South Australia - South East,Victor Harbor
L476,LGA299,SA,Major Cities of Australia,Adelaide - Central and Hills,Burnside
L477,LGA537,NT,Remote Australia,Northern Territory - Outback,Coomalie
L478,LGA170,VIC,Major Cities of Australia,Melbourne - Outer East,Manningham
L479,LGA147,VIC,Outer Regional Australia,Warrnambool and South West,Corangamite
L480,LGA353,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Wakefield
L481,LGA77,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Mosman
L482,LGA515,TAS,Outer Regional Australia,South East,Glamorgan-Spring Bay
L483,LGA52,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Hawkesbury
L484,LGA92,NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Penrith
L485,LGA186,VIC,Inner Regional Australia,Melbourne - North East,Murrindindi
L486,LGA527,TAS,Outer Regional Australia,South East,Southern Midlands
L487,LGA273,QLD,Outer Regional Australia,Logan - Beaudesert,Scenic Rim
L488,LGA184,VIC,Inner Regional Australia,Bendigo,Mount Alexander
L489,LGA86,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney
L490,LGA284,QLD,Inner Regional Australia,Darling Downs - Maranoa,Western Downs
L491,LGA127,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Woollahra
L492,LGA340,SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect
L493,LGA541,NT,Remote Australia,Northern Territory - Outback,Katherine
L494,LGA257,QLD,Remote Australia,Queensland - Outback,Mareeba
L495,LGA176,VIC,Remote Australia,North West,Mildura
L496,LGA265,QLD,Very Remote Australia,Queensland - Outback,Northern Peninsula Area
L497,LGA177,VIC,Major Cities of Australia,Melbourne - North East,Mitchell
L498,LGA124,NSW,Inner Regional Australia,Sydney - Outer South West,Wingecarribee
L499,LGA63,NSW,Outer Regional Australia,Richmond - Tweed,Kyogle
L500,LGA94,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens
L501,LGA551,NT,Outer Regional Australia,Darwin,Unincorporated NT
L502,LGA333,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Orroroo Carrieton
L503,LGA145,VIC,Inner Regional Australia,Ballarat,Central Goldfields
L504,LGA551,NT,Remote Australia,Northern Territory - Outback,Unincorporated NT
L505,LGA27,NSW,Very Remote Australia,Far West and Orana,Central Darling
L506,LGA213,QLD,Remote Australia,Darling Downs - Maranoa,Balonne
L507,LGA521,TAS,Inner Regional Australia,Hobart,Kingborough
L508,LGA256,QLD,Very Remote Australia,Darling Downs - Maranoa,Maranoa
L509,LGA117,NSW,Remote Australia,Far West and Orana,Walgett
L510,LGA32,NSW,Outer Regional Australia,Riverina,Coolamon
L511,LGA220,QLD,Very Remote Australia,Queensland - Outback,Bulloo
L512,LGA8,NSW,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen
L513,LGA66,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Lane Cove
L514,LGA116,NSW,Outer Regional Australia,New England and North West,Walcha
L515,LGA188,VIC,Inner Regional Australia,North West,Northern Grampians
L516,LGA14,NSW,Very Remote Australia,Far West and Orana,Bogan
L517,LGA110,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills
L518,LGA192,VIC,Outer Regional Australia,Latrobe - Gippsland,South Gippsland
L519,LGA125,NSW,Inner Regional Australia,Illawarra,Wollondilly
L520,LGA304,SA,Remote Australia,South Australia - Outback,Cleve
L521,LGA549,NT,Remote Australia,Northern Territory - Outback,West Arnhem
L522,LGA122,NSW,Outer Regional Australia,Murray,Wentworth
L523,LGA24,NSW,Major Cities of Australia,Sydney - Parramatta,Canterbury-Bankstown
L524,LGA520,TAS,Very Remote Australia,West and North West,King Island
L525,LGA314,SA,Remote Australia,South Australia - South East,Kangaroo Island
L526,LGA524,TAS,Inner Regional Australia,Launceston and North East,Meander Valley
L527,LGA114,NSW,Inner Regional Australia,New England and North West,Uralla
L528,LGA313,SA,Major Cities of Australia,Adelaide - South,Holdfast Bay
L529,LGA235,QLD,Remote Australia,Cairns,Douglas
L530,LGA25,NSW,Remote Australia,Riverina,Carrathool
